,😂,❤️,😍,😭,♻️,♥️,😊,💕,😒,😘,😔,😩,☺️,😁,👌,😏,😉,👍,😅,🙏,👀,🔥,💔,😌,💙
20201103-034746,3472,2499,1330,3227,65,445,591,521,296,400,1206,458,320,506,151,331,336,527,545,843,787,507,394,503,436
20201103-035247,3306,2583,1219,3227,36,465,567,485,290,392,1252,497,313,529,159,295,358,554,491,849,856,534,386,536,396
20201103-035747,3381,2608,1188,3179,56,432,522,489,270,483,1228,461,359,508,160,315,367,514,542,944,757,518,371,510,407
20201103-040248,3256,2477,1196,3107,65,524,600,511,278,419,1255,444,328,519,167,304,346,543,527,887,753,537,422,495,405
20201103-040748,3302,2599,1268,3091,67,515,568,505,284,443,1215,452,302,448,171,326,329,534,523,797,703,497,340,510,498
20201103-041248,3296,2469,1195,3179,57,502,521,501,244,374,1195,480,324,437,178,294,357,530,508,871,736,483,335,504,519
20201103-041749,3268,2555,1196,3103,57,482,584,507,263,380,1160,453,336,512,154,359,306,516,547,871,776,527,349,463,495
20201103-042249,3446,2342,1144,3101,63,427,546,477,275,408,1215,420,326,487,169,320,354,559,534,855,811,516,389,539,446
20201103-042750,3442,2273,1122,3085,66,473,615,458,307,379,1192,451,312,506,166,342,313,543,544,878,744,494,370,521,376
20201103-043250,3341,2339,1115,3112,54,446,552,451,298,369,1206,422,308,476,159,317,333,562,554,851,741,495,373,526,461
20201103-043751,3208,2319,1115,3049,44,435,558,504,267,385,1089,413,310,467,184,329,323,516,512,903,716,484,385,513,428
20201103-044251,3305,2212,1085,3085,58,483,586,426,250,434,1082,455,340,530,171,332,336,539,521,966,638,489,400,533,450
20201103-044752,3296,2168,1189,3156,50,429,529,392,273,398,1116,428,303,512,183,301,283,518,512,1004,665,477,384,523,406
20201103-045252,3025,2194,1075,2908,36,401,570,417,250,403,1115,413,345,501,138,347,290,538,514,947,684,499,388,528,385
20201103-045753,3145,2191,1047,3029,69,434,555,422,230,394,1079,377,349,484,157,303,304,545,524,855,633,460,369,515,379
20201103-050253,2944,2140,1064,2948,54,417,563,483,246,396,1008,409,312,507,173,298,318,528,555,803,635,477,344,529,368
20201103-050753,3010,2253,1076,2931,63,457,510,425,222,383,1015,377,334,490,208,282,330,526,512,765,616,487,354,519,357
20201103-051254,3084,2233,1049,2963,72,463,547,450,246,386,1029,387,346,498,177,293,355,518,516,774,618,486,374,553,371
